RPL30P11	ENSG00000244573
QTRTD1	ENSG00000151576
C5orf64	ENSG00000178722
CASS4	ENSG00000087589
LEMD1-AS1	ENSG00000226235
SYNE1-AS1	ENSG00000234577
CRLS1	ENSG00000088766
PRR15	ENSG00000176532
FAM90A7P	ENSG00000236660
WDR54	ENSG00000005448
PPIC	ENSG00000168938
GFAP	ENSG00000131095
VPS26B	ENSG00000151502
GJB7	ENSG00000164411
SNRPA	ENSG00000077312
USP43	ENSG00000154914
FER1L6-AS1	ENSG00000181171
TBL1XR1	ENSG00000177565
ANKRA2	ENSG00000164331
GNAZ	ENSG00000128266
RBMY2TP	ENSG00000237269
CPT1B	ENSG00000205560
NRP1	ENSG00000099250
TRIM64EP	ENSG00000223709
MAGI1-IT1	ENSG00000272610
KIAA0100	ENSG00000007202
GNA11	ENSG00000088256
CASP16	ENSG00000228146
DEFB104A	ENSG00000176782
PUS3	ENSG00000110060
