id	gene	tissue	chr	start	end	exon_no	per_M_coverage
1	TUBB	example	6	30688340	30690314	1	37.51470823370052
2	TUBB	example	6	30688340	30690314	1	40.513965057139494
3	TUBB	example	6	30688340	30690314	1	45.10835016830831
4	TUBB	example	6	30688340	30690314	1	34.01621412157552
5	TUBB	example	6	30688340	30690314	1	33.83243377436169
6	TUBB	example	6	30688340	30690314	1	42.46621481799056
7	TUBB	example	6	30688340	30690314	1	45.870132602176476
8	TUBB	example	6	30688340	30690314	1	58.94871008770753
9	TUBB	example	6	30688340	30690314	1	37.367312127719416
10	TUBB	example	6	30690422	30690695	2	33.48681324439794
11	TUBB	example	6	30690422	30690695	2	39.289858900442304
12	TUBB	example	6	30690422	30690695	2	41.95609341442062
13	TUBB	example	6	30690422	30690695	2	35.06171795846258
14	TUBB	example	6	30690422	30690695	2	29.052667332037863
15	TUBB	example	6	30690422	30690695	2	39.30192446745443
16	TUBB	example	6	30690422	30690695	2	45.90391031396011
17	TUBB	example	6	30690422	30690695	2	54.83690306072924
18	TUBB	example	6	30690422	30690695	2	34.48974133680593
19	TUBB	example	6	30690805	30691117	3	33.68425907720689
20	TUBB	example	6	30690805	30691117	3	39.763706444970246
21	TUBB	example	6	30690805	30691117	3	39.114622537676794
22	TUBB	example	6	30690805	30691117	3	34.12823238981342
23	TUBB	example	6	30690805	30691117	3	29.55142556949774
24	TUBB	example	6	30690805	30691117	3	40.16491274487337
25	TUBB	example	6	30690805	30691117	3	47.08613022638734
26	TUBB	example	6	30690805	30691117	3	54.60633444239401
27	TUBB	example	6	30690805	30691117	3	35.517445190703604
